N,E,El
5105.3999,0,100.0505558
5105.770282,0,100.0548035
5106.52086,0,100.0600201
5107.287838,0,100.0603354
5108.044113,0,100.0644707
5108.807356,0,100.0620326
5109.431914,0,100.0618274
5109.992648,0,100.0585133
5110.564231,0,100.0581378
5111.1168,0,100.0559601
5111.134932,0,100.056711
5112.046823,0,100.0553093
5112.504416,0,100.0554395
5112.921689,0,100.0548237
5113.344529,0,100.053462
5113.779619,0,100.0528263
5114.169923,0,100.0537673
5114.557981,0,100.0530665
5114.986252,0,100.0532267
5115.35081,0,100.0533218
5115.706002,0,100.053482
5116.024704,0,100.0541629
5116.331771,0,100.0536973
5116.678678,0,100.0525358
5117.004864,0,100.0537624
5117.300858,0,100.0523556
5117.582013,0,100.0501929
5117.8679,0,100.0489014
5118.154617,0,100.0473946
5118.438591,0,100.0485359
5118.685019,0,100.0459227
5118.939547,0,100.045347
5119.19794,0,100.0449266
5119.428949,0,100.0435298
5119.64989,0,100.0417626
5119.886391,0,100.0385336
5120.119583,0,100.0373572
5120.364474,0,100.0383835
5120.614331,0,100.0392144
5120.839733,0,100.0392547
5121.053846,0,100.0386589
5121.24429,0,100.0381882
5121.437653,0,100.0384786
5121.648187,0,100.0391194
5121.847602,0,100.0389542
5122.060709,0,100.0393346
5122.267373,0,100.0412919
5122.452496,0,100.0415625
5122.638209,0,100.0426286
5122.79315,0,100.0424336
5122.965461,0,100.046293
5123.109283,0,100.0450366
5123.279733,0,100.0455473
5123.433717,0,100.0469991
5123.605198,0,100.0494871
5123.744784,0,100.0488813
5123.889257,0,100.0488062
5124.047191,0,100.0490665
5124.206022,0,100.050999
5124.353608,0,100.0520101
5124.514856,0,100.0514845
5124.654102,0,100.0500528
5124.773905,0,100.0496124
5124.902623,0,100.0503832
5125.004393,0,100.0496273
5125.147053,0,100.0507387
5125.270705,0,100.0505535
5125.396645,0,100.0519
5125.523406,0,100.0519099
5125.643999,0,100.0536322
5125.76638,0,100.0543382
5125.894888,0,100.0547586
5126.014124,0,100.0535522
5126.130843,0,100.0531366
5126.265358,0,100.0526108
5126.386758,0,100.054238
5126.511761,0,100.0531967
5126.611564,0,100.0537873
5126.737954,0,100.0531516
5126.855669,0,100.0531566
5126.980287,0,100.0533618
5127.069176,0,100.0536722
5127.174476,0,100.0528663
5127.276241,0,100.0533318
5127.375423,0,100.0529515
5127.474715,0,100.0526461
5127.553291,0,100.0532466
5127.664679,0,100.0538374
5127.776045,0,100.0562154
5127.887097,0,100.0577773
5127.967456,0,100.0572617
5128.066247,0,100.0569412
5128.157344,0,100.0576571
5128.25153,0,100.0582929
5128.349986,0,100.0581227
5128.435016,0,100.0594693
5128.516916,0,100.0591389
5128.618571,0,100.0588986
5128.717458,0,100.0601201
5128.775469,0,100.0601252
5128.864954,0,100.0591339
5128.957678,0,100.0597997
5129.029802,0,100.0601101
5129.114521,0,100.0600552
5129.185243,0,100.0609512
5129.275043,0,100.060826
5129.351632,0,100.0606409
5129.433253,0,100.05999
5129.513556,0,100.0588286
5129.584944,0,100.0589387
5129.647151,0,100.0584831
5129.735174,0,100.0587234
5129.817315,0,100.0595945
5129.899191,0,100.0610663
5129.974163,0,100.0615821
5130.047132,0,100.0619976
5130.124522,0,100.0628335
5130.193703,0,100.0620527
5130.260785,0,100.0626833
5130.34192,0,100.0630288
5130.432186,0,100.0644105
5130.482618,0,100.0660324
5130.58625,0,100.0658222
5130.659625,0,100.066468
5130.721151,0,100.0672238
5130.75253,0,100.0635694
5130.793134,0,100.0649359
5130.820904,0,100.0657722
5130.904476,0,100.0634143
5130.969732,0,100.0621927
5131.032669,0,100.0614268
5131.104592,0,100.060821
5131.16745,0,100.059995
5131.254722,0,100.0602903
5131.319512,0,100.0598549
5131.380452,0,100.0603455
5131.446528,0,100.0606809
5131.514717,0,100.062338
5131.58253,0,100.0630389
5131.646363,0,100.063249
5131.712835,0,100.0644304
5131.780774,0,100.064075
5131.841989,0,100.0642804
5131.892786,0,100.0637296
5131.954672,0,100.063209
5132.024293,0,100.0625781
5132.082184,0,100.0628137
5132.141517,0,100.0625132
5132.201175,0,100.0617422
5132.24993,0,100.061612
5132.311716,0,100.0611966
5132.368872,0,100.0613166
5132.422898,0,100.0612866
5132.482231,0,100.0607008
5132.542295,0,100.0601602
5132.608301,0,100.0602353
5132.66033,0,100.0605207
5132.70924,0,100.0602003
5132.754911,0,100.0602454
5132.804818,0,100.0590536
5132.859885,0,100.0589487
5132.914718,0,100.0590288
5132.979017,0,100.0579225
5133.02646,0,100.0574719
5133.0709,0,100.0573718
5133.116446,0,100.0569814
5133.166352,0,100.056556
5133.224178,0,100.0596245
5133.2258,0,100.0560502
5133.281439,0,100.0561303
5133.339775,0,100.0554296
5133.393752,0,100.05586
5133.43323,0,100.0553644
5133.471502,0,100.0553743
5133.524412,0,100.0548838
5133.580997,0,100.0544932
5133.635153,0,100.0545033
5133.685816,0,100.0543179
5133.736573,0,100.0541078
5133.753028,0,100.0571965
5133.793843,0,100.0541779
5133.849136,0,100.0544131
5133.889962,0,100.0545284
5133.920359,0,100.0547186
5133.96562,0,100.0539374
5134.014009,0,100.0528913
5134.060186,0,100.0534069
5134.104515,0,100.0532817
5134.151123,0,100.0538073
5134.207848,0,100.0532717
5134.26284,0,100.0524708
5134.299936,0,100.0522605
5134.339194,0,100.0522104
5134.377301,0,100.0521503
5134.422156,0,100.0531466
5134.467191,0,100.0534971
5134.548937,0,100.0532967
5134.59214,0,100.0525459
5134.645225,0,100.0535571
5134.692839,0,100.054228
5134.74296,0,100.0537774
5134.796651,0,100.0539425
5134.850778,0,100.054348
5134.901911,0,100.0549687
5134.948753,0,100.0549789
5135.010775,0,100.0555646
5135.059074,0,100.0556696
5135.103684,0,100.0559151
5135.148964,0,100.0563355
5135.192963,0,100.0561803
5135.230575,0,100.0555396
5135.27988,0,100.0545234
5135.329471,0,100.0536973
5135.371393,0,100.0533117
5135.407302,0,100.0531666
5135.451411,0,100.0531015
5135.489087,0,100.0527913
5135.539845,0,100.0525058
5135.584275,0,100.0522154
5135.632914,0,100.0521754
5135.670581,0,100.0520653
5135.722154,0,100.0528762
5135.761032,0,100.0524809
5135.798593,0,100.0526612
5135.829731,0,100.0523155
5135.863773,0,100.0529915
5135.902271,0,100.0528964
5135.951776,0,100.0517299
5135.977127,0,100.0516898
5136.024746,0,100.052516
5136.06855,0,100.0513694
5136.115453,0,100.0520653
5136.157409,0,100.0516597
5136.19852,0,100.0516397
5136.233523,0,100.0519251
5136.273952,0,100.0515698
5136.326898,0,100.0507537
5136.366887,0,100.0505384
5136.408508,0,100.0505133
5136.452857,0,100.0506436
5136.480356,0,100.0507687
5136.527379,0,100.049387
5136.577591,0,100.0502531
5136.624308,0,100.0500479
5136.666475,0,100.0510941
5136.680782,0,100.0517098
5136.724031,0,100.0515346
5136.774743,0,100.0511241
5136.79677,0,100.0511691
5136.835833,0,100.0513494
5136.875742,0,100.0523206
5136.903882,0,100.0515246
5136.940086,0,100.0507636
5136.974774,0,100.0523255
5137.008751,0,100.0514795
5137.039193,0,100.0518351
5137.076439,0,100.0518001
5137.128708,0,100.0532368
5137.16691,0,100.05193
5137.193453,0,100.0515396
5137.242418,0,100.0513293
5137.29702,0,100.0516898
5137.330686,0,100.0522805
5137.368313,0,100.0524808
5137.398109,0,100.0514245
5137.430745,0,100.0516447
5137.470558,0,100.051044
5137.506067,0,100.0514595
5137.546402,0,100.0518199
5137.587677,0,100.0513644
5137.638155,0,100.0511491
5137.663365,0,100.0516847
5137.712476,0,100.0515196
5137.752961,0,100.0528962
5137.803322,0,100.0539326
5137.844393,0,100.0537223
5137.866125,0,100.0540277
5137.906369,0,100.0541928
5137.929908,0,100.0542779
5137.960556,0,100.0551891
5137.990192,0,100.0545334
5138.020429,0,100.054308
5138.057946,0,100.0557798
5138.078771,0,100.0562606
5138.116242,0,100.0548637
5138.166159,0,100.0553293
5138.205387,0,100.055985
5138.248335,0,100.0552042
5138.293275,0,100.0536022
5138.322496,0,100.0540528
5138.367446,0,100.0574069
5138.3908,0,100.0571065
5138.437327,0,100.0564807
5138.482477,0,100.0566911
5138.527598,0,100.0570665
5138.531097,0,100.0570465
5138.559878,0,100.0571716
5138.572578,0,100.0571215
5138.584328,0,100.0570764
5138.613458,0,100.056626
5138.627446,0,100.0564255
5138.646174,0,100.0554244
5138.670434,0,100.0562454
5138.688851,0,100.0571165
5138.717787,0,100.0561503
5138.756399,0,100.0560153
5138.787948,0,100.0561202
5138.836493,0,100.0565558
5138.8789,0,100.057587
5138.917222,0,100.0568161
5138.952465,0,100.0571666
5139.000034,0,100.0574519
5139.044694,0,100.0579876
5139.084227,0,100.0582328
5139.121708,0,100.0579574
5139.170744,0,100.0578324
5139.206237,0,100.0579526
5139.258812,0,100.058308
5139.294861,0,100.0574769
5139.340692,0,100.0589087
5139.388406,0,100.0589637
5139.412316,0,100.0582077
5139.456425,0,100.0573417
5139.495993,0,100.0566459
5139.535863,0,100.057572
5139.572102,0,100.0572966
5139.603526,0,100.056726
5139.6515,0,100.0573018
5139.695964,0,100.0570415
5139.740139,0,100.0571165
5139.782456,0,100.0574569
5139.819897,0,100.0574119
5139.860251,0,100.0568711
5139.90831,0,100.0581278
5139.951283,0,100.0586132
5139.989625,0,100.0574219
5140.03043,0,100.0573217
5140.063111,0,100.0564708
5140.096101,0,100.0561855
5140.133072,0,100.0566359
5140.166418,0,100.0561955
5140.213946,0,100.0567111
5140.253795,0,100.056716
5140.283301,0,100.0555697
5140.318645,0,100.0562054
5140.351355,0,100.0548487
5140.384961,0,100.0556698
5140.423203,0,100.0555596
5140.458462,0,100.054258
5140.493825,0,100.054258
5140.525925,0,100.0547135
5140.569949,0,100.0536923
5140.606999,0,100.0536373
5140.650172,0,100.0533068
5140.681596,0,100.052731
5140.726306,0,100.0529414
5140.76583,0,100.0523656
5140.812632,0,100.0514695
5140.857542,0,100.0507085
5140.917911,0,100.050253
5140.950822,0,100.0495522
5140.99024,0,100.050218
5141.032032,0,100.0504034
5141.071305,0,100.0504133
5141.116611,0,100.0501479
5141.156525,0,100.0491116
5141.193651,0,100.0496774
5141.237735,0,100.0500429
5141.278044,0,100.0503081
5141.318018,0,100.0496623
5141.365076,0,100.0491819
5141.407158,0,100.0491919
5141.445515,0,100.0488714
5141.489259,0,100.0482455
5141.525538,0,100.0473293
5141.573698,0,100.0473595
5141.613101,0,100.0473194
5141.649706,0,100.04774
5141.694536,0,100.0483407
5141.73452,0,100.0481555
5141.772762,0,100.0477951
5141.807816,0,100.0477598
5141.854668,0,100.0475848
5141.899618,0,100.0470741
5141.950616,0,100.0463632
5141.995952,0,100.0472443
5142.041543,0,100.0482855
5142.089387,0,100.046984
5142.13713,0,100.047725
5142.178902,0,100.0476848
5142.224303,0,100.0474546
5142.27066,0,100.0483959
5142.311435,0,100.0490817
5142.348435,0,100.0489064
5142.386297,0,100.0481604
5142.430676,0,100.0486909
5142.483777,0,100.0483707
5142.535435,0,100.0484107
5142.590137,0,100.0491866
5142.64139,0,100.0487211
5142.69798,0,100.0484908
5142.744467,0,100.0490466
5142.796626,0,100.0479702
5142.844034,0,100.0488363
5142.883533,0,100.0491216
5142.926205,0,100.0486912
5142.967111,0,100.0481405
5143.01121,0,100.0479754
5143.067134,0,100.0471543
5143.117576,0,100.0473745
5143.171752,0,100.0464533
5143.219816,0,100.0455272
5143.27123,0,100.0460828
5143.322503,0,100.0449616
5143.370211,0,100.0441105
5143.42585,0,100.0441855
5143.47873,0,100.0445511
5143.523575,0,100.0450316
5143.562443,0,100.0451216
5143.610091,0,100.0442657
5143.660573,0,100.0438251
5143.71929,0,100.0438902
5143.769342,0,100.0432495
5143.826763,0,100.0436799
5143.877104,0,100.0435898
5143.932683,0,100.0439502
5143.976777,0,100.0442356
5144.025337,0,100.0438902
5144.072985,0,100.0431694
5144.133134,0,100.0419278
5144.199846,0,100.0410417
5144.25593,0,100.0398651
5144.310387,0,100.0401456
5144.36138,0,100.0409416
5144.415281,0,100.0415274
5144.458144,0,100.0419328
5144.510393,0,100.0426387
5144.568489,0,100.0428189
5144.629995,0,100.0432396
5144.686479,0,100.0434198
5144.746503,0,100.0428291
5144.801651,0,100.0434648
5144.859712,0,100.0426387
5144.926154,0,100.0424585
5144.993552,0,100.0423084
5145.051969,0,100.0418778
5145.121745,0,100.0417725
5145.185318,0,100.0409116
5145.237166,0,100.040516
5145.289125,0,100.039685
5145.342451,0,100.0381832
5145.400773,0,100.037202
5145.472626,0,100.0369417
5145.550857,0,100.0357303
5145.623877,0,100.0351845
5145.696581,0,100.0344936
5145.754723,0,100.034719
5145.804244,0,100.0344787
5145.867226,0,100.034629
5145.932802,0,100.034033
5146.002317,0,100.0337527
5146.072378,0,100.0341833
5146.128372,0,100.0342084
5146.200761,0,100.0352346
5146.274442,0,100.0350793
5146.341049,0,100.0358202
5146.402524,0,100.0353447
5146.478297,0,100.0344537
5146.550646,0,100.0351044
5146.62673,0,100.0348191
5146.685802,0,100.0358053
5146.74891,0,100.0351594
5146.82592,0,100.0356501
5146.907585,0,100.0362459
5146.971293,0,100.0362658
5147.04553,0,100.0379729
5147.118825,0,100.0392094
5147.182748,0,100.0401706
5147.259362,0,100.0403659
5147.346164,0,100.0403058
5147.423229,0,100.040506
5147.500589,0,100.0400856
5147.584172,0,100.0403659
5147.664921,0,100.0403859
5147.751232,0,100.0395448
5147.830995,0,100.0401507
5147.918253,0,100.0419227
5147.985851,0,100.0413321
5148.071701,0,100.0411269
5148.15639,0,100.0415924
5148.231207,0,100.0408564
5148.320046,0,100.0412971
5148.405256,0,100.042153
5148.492599,0,100.0424135
5148.583295,0,100.0440704
5148.668735,0,100.0441406
5148.775822,0,100.0429842
5148.872746,0,100.0433545
5148.960248,0,100.0426387
5149.062875,0,100.0433847
5149.153141,0,100.0437701
5149.245955,0,100.0428138
5149.34778,0,100.0432695
5149.443803,0,100.0424835
5149.549087,0,100.0419128
5149.666592,0,100.0432394
5149.770109,0,100.04364
5149.87274,0,100.0448264
5149.983922,0,100.0455973
5150.08005,0,100.0467386
5150.191552,0,100.0456023
5150.309577,0,100.0458476
5150.43008,0,100.045372
5150.534103,0,100.0465836
5150.655217,0,100.0468138
5150.754209,0,100.0468739
5150.883403,0,100.0458777
5151.004527,0,100.0456774
5151.1293,0,100.0460879
5151.230174,0,100.0461731
5151.371247,0,100.0451968
5151.483981,0,100.0455823
5151.601916,0,100.0458177
5151.69079,0,100.0456675
5151.825651,0,100.0441656
5151.948137,0,100.04386
5152.087243,0,100.0446612
5152.225458,0,100.0435398
5152.347713,0,100.0446713
5152.483545,0,100.0470641
5152.625479,0,100.046153
5152.761336,0,100.0473544
5152.903506,0,100.0487211
5153.069495,0,100.0491817
5153.247659,0,100.0464283
5153.420367,0,100.0471091
5153.590711,0,100.0476548
5153.747133,0,100.0498825
5153.889964,0,100.0528413
5154.059262,0,100.0531365
5154.22057,0,100.0532417
5154.396121,0,100.0528913
5154.579276,0,100.0521103
5154.769275,0,100.0504434
5154.947839,0,100.0507237
5155.164381,0,100.0508838
5155.388121,0,100.0499326
5155.576572,0,100.050198
5155.768163,0,100.0519101
5155.973225,0,100.0527962
5156.177041,0,100.053462
5156.37578,0,100.0520652
5156.627509,0,100.0530113
5156.863835,0,100.0524358
5157.093948,0,100.0511141
5157.323079,0,100.0505835
5157.562444,0,100.0517849
5157.822363,0,100.0515747
5158.108019,0,100.0513394
5158.398887,0,100.0524908
5158.658286,0,100.0516247
5158.951852,0,100.0537422
5159.256306,0,100.0551291
5159.557366,0,100.0554595
5159.84088,0,100.0551892
5160.174335,0,100.0548338
5160.533356,0,100.0552942
5160.875962,0,100.0558149
5161.243154,0,100.0562454
5161.603552,0,100.0562503
5161.993076,0,100.0565158
5162.356382,0,100.0577923
5162.796163,0,100.0564457
5163.252849,0,100.0535721
5163.709826,0,100.0544933
5164.168615,0,100.0530665
5164.626503,0,100.0502031
5165.150562,0,100.0460278
5165.690942,0,100.0458526
5166.198545,0,100.0476749
5166.743881,0,100.0471843
5167.31617,0,100.0467187
5167.974644,0,100.040491
5168.613615,0,100.0386588
5169.291708,0,100.0378427
